source,metric,column,group_by,group,n,missing_rate
baseline_df,missing_rate_by_group,high_risk,age_band,"[85, 200)",7679,0.0
baseline_df,missing_rate_by_group,hhidpn,high_risk,0,12055,0.0
baseline_df,missing_rate_by_group,hhidpn,high_risk,1,17316,0.0
baseline_df,missing_rate_by_group,wave,high_risk,0,12055,0.0
baseline_df,missing_rate_by_group,wave,high_risk,1,17316,0.0
baseline_df,missing_rate_by_group,age,high_risk,0,12055,0.0
baseline_df,missing_rate_by_group,age,high_risk,1,17316,0.0
baseline_df,missing_rate_by_group,gender,high_risk,0,12055,0.0
baseline_df,missing_rate_by_group,gender,high_risk,1,17316,0.0
baseline_df,missing_rate_by_group,edu_years,high_risk,0,12055,0.00033181252592285357
baseline_df,missing_rate_by_group,edu_years,high_risk,1,17316,0.00028875028875028876
baseline_df,missing_rate_by_group,diabetes,high_risk,0,12055,0.0024056408129406884
baseline_df,missing_rate_by_group,diabetes,high_risk,1,17316,0.002483252483252483
baseline_df,missing_rate_by_group,adl_any,high_risk,0,12055,0.0033181252592285357
baseline_df,missing_rate_by_group,adl_any,high_risk,1,17316,0.0005197505197505198
baseline_df,missing_rate_by_group,cesd,high_risk,0,12055,0.09655744504355039
baseline_df,missing_rate_by_group,cesd,high_risk,1,17316,0.2494802494802495
baseline_df,missing_rate_by_group,hosp,high_risk,0,12055,0.011198672749896308
baseline_df,missing_rate_by_group,hosp,high_risk,1,17316,0.011203511203511204
baseline_df,missing_rate_by_group,high_risk,high_risk,0,12055,0.0
baseline_df,missing_rate_by_group,high_risk,high_risk,1,17316,0.0
baseline_df,missing_rate_by_group,hhidpn,diabetes,0.0,20695,0.0
baseline_df,missing_rate_by_group,hhidpn,diabetes,1.0,8358,0.0
baseline_df,missing_rate_by_group,hhidpn,diabetes,3.0,3,0.0
baseline_df,missing_rate_by_group,hhidpn,diabetes,4.0,169,0.0
baseline_df,missing_rate_by_group,hhidpn,diabetes,5.0,15,0.0
baseline_df,missing_rate_by_group,hhidpn,diabetes,6.0,59,0.0
baseline_df,missing_rate_by_group,hhidpn,diabetes,nan,72,0.0
baseline_df,missing_rate_by_group,wave,diabetes,0.0,20695,0.0
baseline_df,missing_rate_by_group,wave,diabetes,1.0,8358,0.0
baseline_df,missing_rate_by_group,wave,diabetes,3.0,3,0.0
baseline_df,missing_rate_by_group,wave,diabetes,4.0,169,0.0
baseline_df,missing_rate_by_group,wave,diabetes,5.0,15,0.0
baseline_df,missing_rate_by_group,wave,diabetes,6.0,59,0.0
baseline_df,missing_rate_by_group,wave,diabetes,nan,72,0.0
baseline_df,missing_rate_by_group,age,diabetes,0.0,20695,0.0
baseline_df,missing_rate_by_group,age,diabetes,1.0,8358,0.0
