q_threshold,risk_thr,n_total,n_treated,n_control,treated_rate,outcome_mean_treated,outcome_mean_control,mean_diff_treated_minus_control,risk_mean_treated,risk_mean_control,age_band,gender
0.6,0.5,1110,587,523,0.5288288288288289,0.7257240204429302,0.011472275334608031,0.7142517451083221,0.5701306076093128,0.3256851497769279,65-69,1
0.7,0.5,1110,587,523,0.5288288288288289,0.7257240204429302,0.011472275334608031,0.7142517451083221,0.5701306076093128,0.3256851497769279,65-69,1
0.8,0.5,1110,587,523,0.5288288288288289,0.7257240204429302,0.011472275334608031,0.7142517451083221,0.5701306076093128,0.3256851497769279,65-69,1
0.6,0.5,1403,746,657,0.5317177476835353,0.6635388739946381,0.0091324200913242,0.6544064539033139,0.5837801608579088,0.3315575849822425,65-69,2
0.7,0.5,1403,746,657,0.5317177476835353,0.6635388739946381,0.0091324200913242,0.6544064539033139,0.5837801608579088,0.3315575849822425,65-69,2
0.8,0.6666666666666666,1403,304,1099,0.2166785459729152,0.819078947368421,0.22929936305732485,0.5897795843110962,0.7055921052631579,0.39930239611768276,65-69,2
0.6,0.5,1264,594,670,0.4699367088607595,0.7845117845117845,0.10298507462686567,0.6815267098849188,0.5726711560044894,0.3029850746268657,70-74,1
0.7,0.5,1264,594,670,0.4699367088607595,0.7845117845117845,0.10298507462686567,0.6815267098849188,0.5726711560044894,0.3029850746268657,70-74,1
0.8,0.5,1264,594,670,0.4699367088607595,0.7845117845117845,0.10298507462686567,0.6815267098849188,0.5726711560044894,0.3029850746268657,70-74,1
0.6,0.5,1558,809,749,0.5192554557124519,0.681087762669963,0.08411214953271028,0.5969756131372527,0.5832303255047384,0.303960836671117,70-74,2
0.7,0.5,1558,809,749,0.5192554557124519,0.681087762669963,0.08411214953271028,0.5969756131372527,0.5832303255047384,0.303960836671117,70-74,2
0.8,0.6666666666666666,1558,327,1231,0.2098844672657253,0.8318042813455657,0.2778229082047116,0.553981373140854,0.7059123343527014,0.38072028161386406,70-74,2
0.6,0.3333333333333333,1695,1256,439,0.7410029498525074,0.5636942675159236,0.0,0.5636942675159236,0.4491772823779194,0.1666666666666666,75-79,1
0.7,0.5,1695,624,1071,0.368141592920354,0.7900641025641025,0.20074696545284781,0.5893171371112547,0.5665064102564102,0.26501711795829436,75-79,1
0.8,0.5,1695,624,1071,0.368141592920354,0.7900641025641025,0.20074696545284781,0.5893171371112547,0.5665064102564102,0.26501711795829436,75-79,1
0.6,0.5,2042,841,1201,0.4118511263467189,0.72294887039239,0.1823480432972523,0.5406008270951377,0.5834324217201744,0.2657507632528448,75-79,2
0.7,0.5,2042,841,1201,0.4118511263467189,0.72294887039239,0.1823480432972523,0.5406008270951377,0.5834324217201744,0.2657507632528448,75-79,2
0.8,0.5,2042,841,1201,0.4118511263467189,0.72294887039239,0.1823480432972523,0.5406008270951377,0.5834324217201744,0.2657507632528448,75-79,2
0.6,0.5,4003,2868,1135,0.7164626530102424,0.6206415620641562,0.0,0.6206415620641562,0.6233147373314737,0.3333333333333333,80+,1
0.7,0.6666666666666666,4003,1490,2513,0.3722208343742193,0.7899328859060403,0.23995224830879427,0.549980637597246,0.7373601789709171,0.4247247645576336,80+,1
0.8,0.6666666666666666,4003,1490,2513,0.3722208343742193,0.7899328859060403,0.23995224830879427,0.549980637597246,0.7373601789709171,0.4247247645576336,80+,1
0.6,0.6666666666666666,5406,2163,3243,0.40011098779134296,0.7498844197873324,0.20999074930619796,0.5398936704811345,0.7414855910001541,0.42476102374344743,80+,2
0.7,0.6666666666666666,5406,2163,3243,0.40011098779134296,0.7498844197873324,0.20999074930619796,0.5398936704811345,0.7414855910001541,0.42476102374344743,80+,2
0.8,0.6666666666666666,5406,2163,3243,0.40011098779134296,0.7498844197873324,0.20999074930619796,0.5398936704811345,0.7414855910001541,0.42476102374344743,80+,2
